title;category;link;
VK ??????? ? RuStore;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/vk-marketing;
?????? ?? ?????????? ?? RuStore ? ?????? ?????????;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/vk-link;
???????????? ?? ?????????;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/featuring;
?????? ?? ???????;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/events;
??????????? ???????? ? ????????? ???????;???????????? ?????????????;rustore.ru/help/developers/advertising-and-promotion/iframe;
???????????;???????????? ?????????????;rustore.ru/help/developers/tools/;
RuStore Remote Config;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config;
??????? ?????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/general;
??????? ??????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/how-it-works;
SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk;
Kotlin SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/kotlin/6-0-0;
Godot SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/godot/1-0-0;
React Native SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/react/6-0-0;
Flutter SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/flutter/1-0-0;
Unreal SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/unreal/1-0-0;
Defold SDK ? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/sdk/defold/1-1-1;
?????????? ???????????? A/B-????????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/ab-testing/experiment-result;
????????? ?????????? ?? ??????????? ???????????? A/B-????????????;???????????? ?????????????;rustore.ru/help/developers/tools/remote-config/ab-testing/experiment-result/detailed-results;
??? ?????????? RuStore;???????????? ?????????????;rustore.ru/help/users/start/app-install;
??? ?????????? ??????;???????????? ?????????????;rustore.ru/help/users/start/install-on-tv;
??? ?????????? ?????? ?? ??;???????????? ?????????????;rustore.ru/help/users/start/install-on-tv/install-apk-on-tv;
?????????, ???????? ? ?????????? ?????????? RuStore ??? ??;???????????? ?????????????;rustore.ru/help/users/start/install-on-tv/tv-app-interface;
??????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/start/notification;
????????? RuStore;???????????? ?????????????;rustore.ru/help/users/start/interface;
???????? ?????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/start/app-page;
??? ???????? RuStore;???????????? ?????????????;rustore.ru/help/users/start/update-rustore-app;
??? ???????? ???? ?????????? RuStore;???????????? ?????????????;rustore.ru/help/users/start/change-theme;
??? ???????????? «??????? ?????»;???????????? ?????????????;rustore.ru/help/users/start/parental-control;
??????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/authorization;
??? ????? ?????? ??? ???????????;???????????? ?????????????;rustore.ru/help/users/authorization/without-authorization;
????? ?? ???????? RuStore;???????????? ?????????????;rustore.ru/help/users/authorization/trust-rustore;
??? ????? ? ????????? VK ID;???????????? ?????????????;rustore.ru/help/users/authorization/login-vk-id;
??? ????? VK ID ? ????? ?????;???????????? ?????????????;rustore.ru/help/users/authorization/why-vk-id;
??? ?????????????? ????? ???? ID;???????????? ?????????????;rustore.ru/help/users/authorization/login-sber-id;
??? ?????????????? ????? ??????;???????????? ?????????????;rustore.ru/help/users/authorization/login-yandex-id;
??? ?????????????? ????? ???????? ID;???????????? ?????????????;rustore.ru/help/users/authorization/login-tinkoff-id;
??? ?????????????? ????? ?????????;???????????? ?????????????;rustore.ru/help/users/authorization/login-gosuslugi-id;
??? ?????????????? ????? ????? ????;???????????? ?????????????;rustore.ru/help/users/authorization/login-alfa-id;
??? ????? ?? ???????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/authorization/how-to-get-out;
?????????? ????????????;???????????? ?????????????;rustore.ru/help/users/app-management;
??? ????? ?????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/app-management/app-search;
??? ?????????? ?????????? ?? RuStore;???????????? ?????????????;rustore.ru/help/users/app-management/app-from-rustore;
???? RuStore ????????? ??????????;???????????? ?????????????;rustore.ru/help/users/app-management/where-downloads-apps;
??? ???????? ?????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/app-management/update-app-from-rustore;
??? ????????? ?????????????? ?????????? ? RuStore;???????????? ?????????????;rustore.ru/help/users/app-management/auto-update;
??? ????????? ???????????? ??????????;???????????? ?????????????;rustore.ru/help/users/app-management/app-safety;
???? ?????????? ?????????? ????? RuStore;???????????? ?????????????;rustore.ru/help/users/app-management/update-failure;
??? ???????? ????? ? ??????????;???????????? ?????????????;rustore.ru/help/users/app-management/app-review;
????-?????????? VK;???????????? ?????????????;rustore.ru/help/users/app-management/vk-mini-apps;
??????? ? ????????;???????????? ?????????????;rustore.ru/help/users/purchases-and-returns;
??? ????????? ?????????? ?????;???????????? ?????????????;rustore.ru/help/users/purchases-and-returns/link-bank-card;
??? ?????????? ????? VK ID;???????????? ?????????????;rustore.ru/help/users/purchases-and-returns/vk-connect;
??? ?????????? ????? ???? ID;???????????? ?????????????;rustore.ru/help/users/purchases-and-returns/sber-id-connect;
Kotlin/Java ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/kotlin-java/6-0-0;
??????? ? ?????? ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/payment-issues-faq;
??????? ??????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/kotlin-java/history;
Kotlin/Java ??????? ?? ?????? ???????? 3.2.0;??????? in-app ? ????????;rustore.ru/help/sdk/payments/kotlin-java/migration/3-2-0-migration;
Unity ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/unity/5-0-2;
Godot ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/godot/5-0-0;
React Native ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/react/5-0-0;
Flutter ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/flutter/6-0-0;
Defold ??????? in-app ? ????????;??????? in-app ? ????????;rustore.ru/help/sdk/payments/defold/5-1-1;
Kotlin/Java Push-???????????;Push-???????????;rustore.ru/help/sdk/push-notifications/kotlin-java/6-0-0;
Unity Push-???????????;Push-???????????;rustore.ru/help/sdk/push-notifications/unity/1-0-0;
Godot Push-???????????;Push-???????????;rustore.ru/help/sdk/push-notifications/godot/2-0-0;
???????? push-??????????? (API);Push-???????????;rustore.ru/help/sdk/push-notifications/send-push-notifications;
???????? push-??????????? ?? ??????? (API);Push-???????????;rustore.ru/help/sdk/push-notifications/topic-notifications;
????? ????????? ?????????? ? ???-????????????;Push-???????????;rustore.ru/help/sdk/push-notifications/ads-push-notification;
?????? ? ?????????? ????????????? (API);Push-???????????;rustore.ru/help/sdk/push-notifications/work-with-segments-push-api;
???????? ?????????????;Push-???????????;rustore.ru/help/sdk/push-notifications/user-segments/work-with-segments-push-api;
??????????? MyTracker ? ???????? ?????????;Push-???????????;rustore.ru/help/sdk/push-notifications/user-segments/segments-mytracker;
?????? ? ?????????? (API);Push-???????????;rustore.ru/help/sdk/push-notifications/user-segments/segments-api;
????????????? push-???????????;Push-???????????;rustore.ru/help/sdk/general-push-notifications;
??????? ????????????? ????? ? ??????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/general/terms;
?????? ? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/general/access-services;
??????? ?????? ? ??????????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/search-and-geocoding-services;
????? ???? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/search-and-geocoding-services/search-places-of-interest;
?????? ??????????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/search-and-geocoding-services/geocoding-service;
?????????? ?????? ? ???? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/search-and-geocoding-services/adress-and-places-of-interest-prompter;
??????? ??????????? ????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/;
??????? ??????????? ????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/main;
????????????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map;
????????????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/main;
??????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/quick-start;
1. ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/map;
2. ???????? ? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/options;
3. ????? ? ???????? ??????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/labels-controls;
4. ????????? ? ?????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/geometry;
5. Handlers (???????????);????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/handlers;
6. Sources (?????????);????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/sources;
7. Events (???????);????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/events;
8. ????????????? ? React ???????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/react;
???????? ?????????????? ???????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/interactive-map/additional-objects;
????????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/static-map;
?????? ????????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/static-map/main;
????????? ???????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/static-map/collection-of-pins;
????? ????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/map-display-services/map-styles;
??????? ?????????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services;
?????????? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services/building-route;
??????? ??????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services/distance-matrix;
??????? ????????? ???;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services/reachability-area;
??????????? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services/route-optimization;
????????????? ??????? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/routing-services/decoding-polyline-route;
Maps Mobile SDK;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/maps-mobile-sdk;
Android;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/maps-mobile-sdk/mobile-sdk-android;
iOS;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/maps-mobile-sdk/mobile-sdk-ios;
?????????????? ???????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services;
?????? ?????????????? ????????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services/main;
??????????? ??????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services/height-determination;
??????????? ?????????????? ?? IP-??????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services/location-determination-by-ip;
??????????? ???????? ?????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services/determining-the-time-zone;
??????????? ????????? ???????;????? ? ??????????;rustore.ru/help/sdk/rustore-geo/additional-services/search-for-a-zip-code;
????? ????????? ?????? ???????????;??????????? ? ???????? ?????? ? RuStore API;rustore.ru/help/work-with-rustore-api/api-authorization-token;
????????? ?????? ??????? ? ???????? ? ??????? API;??????????? ? ???????? ?????? ? RuStore API;rustore.ru/help/work-with-rustore-api/api-subscription-payment;
????????? ?????? ???????;????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-token-payment-method;
????????? ?????? ????????;????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-token-subscription-method;
????????? ?????? ???????? (V2);????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-id-payment-method;
????? ???? ?????? ???????? (V3);????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-id-payment-method-v3;
????????? ??????? ????????;????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-token-substatus-method;
????????????? ????????? ????????;????????? ?????? ? ??????? ? ???????? ? ??????? API;rustore.ru/help/work-with-rustore-api/api-subscription-payment/api-token-subget-approve;
???????? ? ?????????? ?????????? ? ??????? API RuStore;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/;
???????? ????????? ??????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/create-draft-version;
???????? APK/AAB-??????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/apk-file-upload/;
???????? APK-?????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/apk-file-upload/file-upload-apk;
???????? AAB-?????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/apk-file-upload/file-upload-aab;
???????? ?????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/apk-icon-upload;
???????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/apk-screens-upload;
????????? ???????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/publishing-change-settings;
????????? ??????? ?????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/get-version-status;
???????? ?? ????????? ????????? ?????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/send-draft-app-for-moderation;
?????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/manual-publishing;
???????? ?????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/delete-draft;
?????? ????????? ??????????;???????? ? ?????????? ?????????? ? ??????? API RuStore;rustore.ru/help/work-with-rustore-api/api-upload-publication-app/app-category-list;
?????? ? ???????? ? ??????? RuStore API;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process;
????? ??????? ?????? ? ????????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/feedback-process;
????????? ??????? ??????????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/get-feedback;
????????? ??????? ? ??????? .csv;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/get-csv-feedback;
???????? ????? ?? ?????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/feedback-answer;
????????? ??????? ?????? ?? ?????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/get-feedback-status;
????????? ??????? ??????? ?? ??????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/get-feedbacks-statuses;
????????? ?????? ?? ?????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/change-feedback-answer;
???????? ?????? ?? ?????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/delete-feedback-answer;
????????? ???????? ??????????;?????? ? ???????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-feedback-process/get-app-rating;
?????? ? ????????? ????????????? ? ??????? RuStore API;?????? ? ????????? ????????????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-access-control;
????? ???????;?????? ? ????????? ????????????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-access-control/revoke-access;
????????? ?????????? ? ???????? ???????? ?? ??????????;?????? ? ????????? ????????????? ? ??????? RuStore API;rustore.ru/help/work-with-rustore-api/api-access-control/access-details;
?????? ? ????????? ? RuStore;?????? ? ????????? ? RuStore;rustore.ru/help/guides/payments;
??? ????????? ?????????? ?????????? ???????? ?????? ??????????;???????? ??????;rustore.ru/help/guides/sign-apk;
